FilePath,ResizedPath,Value
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented000.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented001.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented002.png,2.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented003.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented004.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented005.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented006.png,0.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented007.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented008.png,2.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented009.png,2.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0010.png,2.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0011.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0012.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0013.png,2.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0014.png,2.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0015.png,2.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0016.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0017.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0018.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0019.png,2.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0020.png,0.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0021.png,1.0
,C:\Users\parki\Documents\GitHub\Python-Practice\Sleep_Schedule\scripts\static\Augmented\augmented0022.png,0.0
